id,minority,female,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
1,1,0,1,0,0,0,16,1
2,0,1,3,0,0,2,19,0
3,1,0,4,5,63.99,1,14,0
4,1,0,1,0,0,7,15,0
5,0,1,2,2,52.49,2,19,0
6,0,1,3,1,54.49,6,11,0
7,0,1,3,1,59.99,6,4,0
8,0,1,3,5,77.99,7,15,1
9,1,1,1,1,74.49,1,25,0
10,0,0,3,2,78.49,2,26,0
11,0,0,3,0,0,2,5,1
12,0,1,1,3,61.49,5,18,1
13,0,1,2,3,38.99,4,18,0
14,0,1,2,10,63.99,0,21,1
15,0,0,3,1,202.47,4,13,0
16,0,1,1,0,0,7,15,1
17,0,0,5,2,103.98,6,12,0
18,0,1,2,1,68.49,3,11,1
19,0,1,1,1,60.49,3,17,0
20,0,0,3,0,0,4,15,0
21,0,0,2,0,0,4,9,1
22,0,1,3,7,41.99,5,16,0
23,0,1,3,2,101.98,0,17,0
24,0,1,3,0,0,0,6,0
25,0,1,1,0,0,0,13,0
26,0,1,3,0,0,1,11,0
27,1,1,1,0,0,3,21,1
28,1,1,1,3,157.47,6,17,1
29,1,1,1,0,0,5,14,0
30,0,0,3,0,0,4,16,0
31,0,0,1,5,63.99,5,4,0
32,0,1,1,2,178.47,0,16,0
33,0,1,2,0,0,6,18,0
34,0,1,1,0,0,1,22,1
35,0,1,3,13,57.99,3,23,0
36,0,1,4,0,0,2,13,1
37,0,1,1,0,0,3,18,1
38,0,0,1,6,54.99,1,13,1
39,0,0,3,0,0,5,4,0
40,1,0,1,3,189.96,2,12,0
41,0,1,3,0,0,7,15,0
42,0,0,1,2,75.99,3,4,0
43,0,1,4,1,56.49,5,20,0
44,0,1,1,1,46.99,1,20,0
45,0,1,2,0,0,0,18,0
46,0,0,3,0,0,6,5,1
47,0,0,2,2,134.98,7,13,0
48,1,1,1,3,73.49,2,21,0
49,1,0,1,1,99.98,1,2,0
50,0,0,3,0,0,4,14,0
51,1,0,1,8,55.99,7,17,1
52,0,1,3,7,58.99,4,19,0
53,1,1,1,0,0,1,22,0
54,0,1,3,12,170.97,2,14,1
55,0,0,1,0,0,7,9,1
56,1,0,1,1,56.99,0,3,0
57,0,1,3,7,69.99,0,15,0
58,0,0,1,0,0,5,14,1
59,0,1,2,0,0,0,21,1
60,0,0,2,0,0,0,3,0
61,0,1,3,0,0,2,15,0
62,1,1,1,2,68.99,6,18,0
63,0,1,1,1,55.49,5,19,0
64,1,0,1,1,127.98,6,11,1
65,0,1,2,2,161.97,2,18,0
66,0,1,1,0,0,6,15,0
67,0,0,2,0,0,4,2,0
68,0,0,3,0,0,5,7,1
69,0,1,4,0,0,5,24,0
70,0,1,1,4,173.97,6,18,1
